ds;y
2021-05-30;906
2021-05-31;1005
2021-06-01;1857
2021-06-02;1379
2021-06-03;1209
2021-06-04;1106
2021-06-05;932
2021-06-06;579
2021-06-07;798
2021-06-08;1368
2021-06-09;886
2021-06-10;750
2021-06-11;784
2021-06-12;682
2021-06-13;297
2021-06-14;468
2021-06-15;794
2021-06-16;546
2021-06-17;512
2021-06-18;453
2021-06-19;389
2021-06-20;247
2021-06-21;206
2021-06-22;395
2021-06-23;512
2021-06-24;454
2021-06-25;386
2021-06-26;375
2021-06-27;235
2021-06-28;361
2021-06-29;563
2021-06-30;627
2021-07-01;729
2021-07-02;980
2021-07-03;1182
2021-07-04;617
2021-07-05;999
2021-07-06;2181
2021-07-07;1816
2021-07-08;2061
2021-07-09;1997
2021-07-10;2327
2021-07-11;1464
2021-07-12;2063
2021-07-13;3911
2021-07-14;2935
2021-07-15;2794
2021-07-16;2688
2021-07-17;2554
2021-07-18;1558
2021-07-19;1834
2021-07-20;4327
2021-07-21;2968
2021-07-22;2601
2021-07-23;2852
2021-07-24;2472
2021-07-25;1553
2021-07-26;2056
2021-07-27;4170
2021-07-28;2870
2021-07-29;2694
2021-07-30;2843
2021-07-31;2752
2021-08-01;1603
2021-08-02;2154
2021-08-03;3969
2021-08-04;2855
2021-08-05;2787
2021-08-06;2924
2021-08-07;2746
2021-08-08;1850
2021-08-09;2593
2021-08-10;4614
2021-08-11;3472
2021-08-12;3603
2021-08-13;3493
2021-08-14;3270
2021-08-15;1888
2021-08-16;2212
2021-08-17;4412
2021-08-18;3437
2021-08-19;3273
2021-08-20;3596
2021-08-21;3184
2021-08-22;1947
2021-08-23;2626
2021-08-24;5000
2021-08-25;3265
2021-08-26;3528
2021-08-27;3067
2021-08-28;3062
2021-08-29;1581
2021-08-30;2343
2021-08-31;4306
2021-09-01;2868
2021-09-02;2836
2021-09-03;2715
2021-09-04;2284
2021-09-05;1284
2021-09-06;1765
2021-09-07;3442
2021-09-08;2198
2021-09-09;2163
2021-09-10;2129
2021-09-11;2190
2021-09-12;1319
2021-09-13;1608
2021-09-14;3590
2021-09-15;2406
2021-09-16;2322
2021-09-17;2231
2021-09-18;2184
2021-09-19;1286
2021-09-20;2124
2021-09-21;3688
2021-09-22;2325
2021-09-23;2101
2021-09-24;2033
2021-09-25;1814
2021-09-26;1100
2021-09-27;2122
2021-09-28;3287
2021-09-29;2157
2021-09-30;2232
2021-10-01;2601
2021-10-02;1798
2021-10-03;1142
2021-10-04;2125
2021-10-05;3084
2021-10-06;2294
2021-10-07;2229
2021-10-08;2277
2021-10-09;2162
2021-10-10;1320
2021-10-11;2358
2021-10-12;3237
2021-10-13;2312
2021-10-14;2572
2021-10-15;2618
2021-10-16;2301
2021-10-17;1689
2021-10-18;3147
2021-10-19;3926
2021-10-20;3252
2021-10-21;3376
2021-10-22;3541
2021-10-23;3155
2021-10-24;2075
2021-10-25;3937
2021-10-26;4276
2021-10-27;3639
2021-10-28;2957
2021-10-29;3611
2021-10-30;4670
2021-10-31;2722
2021-11-01;5425
2021-11-02;6856
2021-11-03;6141
2021-11-04;6784
2021-11-05;6889
2021-11-06;6356
2021-11-07;4283
2021-11-08;7335
2021-11-09;8969
2021-11-10;7089
2021-11-11;6771
2021-11-12;6832
2021-11-13;6132
2021-11-14;3842
2021-11-15;6950
2021-11-16;8364
2021-11-17;6653
2021-11-18;7276
2021-11-19;7751
2021-11-20;5944
2021-11-21;4108
2021-11-22;7287
2021-11-23;8348
2021-11-24;7106
2021-11-25;6561
2021-11-26;6602
2021-11-27;5859
2021-11-28;3823
2021-11-29;6677
2021-11-30;7720
2021-12-01;6192
2021-12-02;6256
2021-12-03;6201
2021-12-04;5143
2021-12-05;3526
2021-12-06;4927
2021-12-07;7254
2021-12-08;5899
2021-12-09;5513
2021-12-10;5087
2021-12-11;4751
2021-12-12;3225
2021-12-13;3829
2021-12-14;5953
2021-12-15;4786
2021-12-16;4696
2021-12-17;4761
